borough,average,year
Kingston upon Thames,68.8,2019
Croydon,90.3,2019
Bromley,71.7,2019
Hounslow,95.1,2019
Ealing,90.05,2019
Havering,69.45,2019
Hillingdon,86.8,2019
Harrow,66.85,2019
Brent,90.9,2019
Barnet,74.85,2019
Lambeth,102.05,2019
Southwark,111,2019
Lewisham,94.4,2019
Greenwich,97.25,2019
Bexley,68.2,2019
Enfield,90.05,2019
Waltham Forest,101.55,2019
Redbridge,79.15,2019
Sutton,78.8,2019
Richmond upon Thames,64.55,2019
Merton,69,2019
Wandsworth,79.95,2019
Hammersmith and Fulham,115.25,2019
Kensington and Chelsea,134.55,2019
Westminster,237.45,2019
Camden,130.05,2019
Tower Hamlets,104.7,2019
Islington,116.2,2019
Hackney,113.1,2019
Haringey,11.7,2019
Newham,99.8,2019
Barking and Dagenham,94.7,2019
City of London,0,2019
